,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,57,34,510341447894,3598230051,1,1,"(0.4647239148616791, 0.337507963180542)","(0.47800758481025696, 0.37986284494400024)",1,1,2.613037109375,2.595306396484375,"(-33.17395782470703, 10.787461280822754, 523.50048828125)","(25.734928131103516, 14.414623260498047, 520.4552001953125)","(-13.808420181274414, 138.510986328125, 39.77206802368164)","(-9.218589782714844, 130.77540588378906, 36.956581115722656)",POINT (0.471365749835968 0.3586854040622711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341464562,3598246718,1,1,"(0.4543936848640442, 0.3527224361896515)","(0.48101940751075745, 0.3974665701389313)",1,1,2.6312408447265625,2.61309814453125,"(-33.10032272338867, 10.807516098022461, 523.4161376953125)","(25.803604125976562, 14.449810028076172, 520.47998046875)","(-17.377792358398438, 135.7322540283203, 38.76069641113281)","(-8.177929878234863, 127.56033325195312, 35.7863883972168)",POINT (0.4677065461874008 0.3750945031642914),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341481228,3598263384,1,1,"(0.4612247943878174, 0.3399212658405304)","(0.480730801820755, 0.37431252002716064)",1,1,2.624374389648437,2.593475341796875,"(-33.04271697998047, 10.846415519714355, 523.4601440429688)","(25.869157791137695, 14.482768058776855, 520.48193359375)","(-15.017465591430664, 138.0702362060547, 39.61165237426758)","(-8.277642250061035, 131.78912353515625, 37.32552719116211)",POINT (0.4709777981042862 0.3571168929338455),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341497896,3598280051,1,1,"(0.4647112190723419, 0.3365776538848877)","(0.47553545236587524, 0.384347140789032)",1,1,2.5952911376953125,2.5900115966796875,"(-32.9794921875, 10.869939804077148, 523.351806640625)","(25.920124053955078, 14.49506950378418, 520.2677001953125)","(-13.812816619873047, 138.68089294433594, 39.833927154541016)","(-10.072776794433594, 129.95643615722656, 36.658470153808594)",POINT (0.4701233357191086 0.3604623973369598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341514571,3598296726,1,1,"(0.4604807496070862, 0.3418879210948944)","(0.47560808062553406, 0.39013001322746277)",1,1,2.618194580078125,2.624053955078125,"(-32.91477584838867, 10.874313354492188, 523.328125)","(25.987762451171875, 14.478858947753906, 520.3005981445312)","(-15.274553298950195, 137.71102905273438, 39.48094177246094)","(-10.047669410705566, 128.90025329589844, 36.2740592956543)",POINT (0.4680444151163101 0.3660089671611786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341531238,3598313392,1,1,"(0.47102904319763184, 0.33724552392959595)","(0.479032427072525, 0.3813314437866211)",1,1,2.603744506835937,2.6181640625,"(-32.850982666015625, 10.891924858093262, 523.0062255859375)","(26.048540115356445, 14.467248916625977, 520.2579956054688)","(-11.629857063293457, 138.5589141845703, 39.78953552246094)","(-8.86449146270752, 130.5072021484375, 36.858924865722656)",POINT (0.4750307351350784 0.3592884838581085),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341547906,3598330059,1,1,"(0.4157112240791321, 0.1703866571187973)","(0.4427688419818878, 0.22249920666217804)",1,1,2.6180572509765625,2.6511688232421875,"(-32.82128143310547, 11.181960105895996, 523.114501953125)","(25.982799530029297, 14.7225923538208, 520.5792236328125)","(-30.74355697631836, 169.0334930419922, 50.88134765625)","(-21.394468307495117, 159.5158233642578, 47.417213439941406)",POINT (0.42924003303051 0.1964429318904877),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,57,34,510341564572,3598346725,1,1,"(0.45184326171875, 0.19366568326950073)","(0.44880440831184387, 0.2598949372768402)",1,1,2.56402587890625,2.609725952148437,"(-32.76337432861328, 11.24670696258545, 523.0132446289062)","(26.022960662841797, 14.755742073059082, 520.3953857421875)","(-18.2590274810791, 164.78187561035156, 49.333919525146484)","(-19.309017181396484, 152.68597412109375, 44.931339263916016)",POINT (0.4503238350152969 0.2267803102731705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341581240,3598363392,1,1,"(0.45061641931533813, 0.18570446968078613)","(0.44091978669166565, 0.24090465903282166)",1,1,2.6067352294921875,2.658416748046875,"(-32.684322357177734, 11.254223823547363, 522.9151611328125)","(26.131866455078125, 14.707487106323242, 520.4320678710938)","(-18.682939529418945, 166.23590087890625, 49.863101959228516)","(-22.033357620239258, 156.154296875, 46.193721771240234)",POINT (0.4457681030035019 0.2133045643568039),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,34,510341597907,3598380059,1,1,"(0.4448540508747101, 0.17722077667713165)","(0.44131216406822205, 0.2567332983016968)",1,1,2.599609375,2.634552001953125,"(-32.61384201049805, 11.276206970214844, 522.8304443359375)","(26.202796936035156, 14.710355758666992, 520.2237548828125)","(-20.673980712890625, 167.7853240966797, 50.42707824707031)","(-21.897781372070312, 153.26341247558594, 45.14152526855469)",POINT (0.4430831074714661 0.2169770374894142),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
