,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,29,34,757957122740,2519967155,1,1,"(0.39364323019981384, 0.19458946585655212)","(0.3765013515949249, 0.1277575045824051)",1,1,2.776702880859375,2.3735809326171875,"(-49.86337661743164, -46.31830978393555, 579.2928466796875)","(14.46914291381836, -53.97528076171875, 580.5469360351562)","(-38.368621826171875, 164.6131591796875, 49.27250671386719)","(-44.29156494140625, 176.8191375732422, 53.71509552001953)",POINT (0.3850722908973694 0.1611734852194786),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957139406,2519983821,1,1,"(0.3933315873146057, 0.19158999621868134)","(0.3746747672557831, 0.10055217891931534)",1,1,2.767913818359375,2.338119506835937,"(-49.87999725341797, -46.32091522216797, 579.2432861328125)","(14.452705383300781, -53.97660827636719, 580.538330078125)","(-38.47628402709961, 165.1609649658203, 49.47187042236328)","(-44.922691345214844, 181.78782653808594, 55.52355194091797)",POINT (0.3840031772851944 0.1460710875689983),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957156074,2520000488,1,1,"(0.39503705501556396, 0.1896192580461502)","(0.37010544538497925, 0.12487516552209854)",1,1,2.7647247314453125,2.352020263671875,"(-49.91474151611328, -46.32011413574219, 579.2095336914062)","(14.419931411743164, -53.95232391357422, 580.604736328125)","(-37.88700866699219, 165.52090454101562, 49.602882385253906)","(-46.50151062011719, 177.3455352783203, 53.90674591064453)",POINT (0.3825712502002716 0.1572472117841244),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957172741,2520017155,1,1,"(0.3909846842288971, 0.1874779909849167)","(0.37506231665611267, 0.14772117137908936)",1,1,2.75921630859375,2.393173217773437,"(-49.95957565307617, -46.340492248535156, 579.1278076171875)","(14.36340618133545, -53.940956115722656, 580.5512084960938)","(-39.28720474243164, 165.9119873046875, 49.7452278137207)","(-44.78876495361328, 173.17303466796875, 52.38801574707031)",POINT (0.3830235004425049 0.167599581182003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957189408,2520033821,1,1,"(0.39387303590774536, 0.18345679342746735)","(0.3667302131652832, 0.1285044401884079)",1,1,2.779998779296875,2.360198974609375,"(-50.026458740234375, -46.366127014160156, 579.1740112304688)","(14.310161590576172, -53.93126678466797, 580.6004028320312)","(-38.289215087890625, 166.64639282226562, 50.012516021728516)","(-47.66773223876953, 176.68272399902344, 53.66544723510742)",POINT (0.3803016245365143 0.1559806168079376),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957206075,2520050488,1,1,"(0.39117416739463806, 0.18695420026779175)","(0.37068089842796326, 0.11405186355113983)",1,1,2.753814697265625,2.3548736572265625,"(-50.07941436767578, -46.39349365234375, 579.1566162109375)","(14.253946304321289, -53.941009521484375, 580.509765625)","(-39.22171401977539, 166.00762939453125, 49.780025482177734)","(-46.302677154541016, 179.32229614257812, 54.626155853271484)",POINT (0.3809275329113007 0.1505030319094658),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957222747,2520067159,1,1,"(0.3916766941547394, 0.182643324136734)","(0.3725396692752838, 0.1187092736363411)",1,1,2.746368408203125,2.355453491210937,"(-50.12093734741211, -46.4073371887207, 579.1312255859375)","(14.213140487670898, -53.96065139770508, 580.49267578125)","(-39.04810333251953, 166.7949676513672, 50.06661605834961)","(-45.66041564941406, 178.47166442871094, 54.316593170166016)",POINT (0.3821081817150116 0.1506762988865376),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957239414,2520083826,1,1,"(0.38661661744117737, 0.17711856961250305)","(0.3757850229740143, 0.1199965849518776)",1,1,2.747589111328125,2.364730834960937,"(-50.1571044921875, -46.42067337036133, 579.106689453125)","(14.176437377929688, -53.98912048339844, 580.4199829101562)","(-40.796485900878906, 167.80398559570312, 50.43385696411133)","(-44.53907012939453, 178.23654174804688, 54.231021881103516)",POINT (0.3812008202075958 0.1485575772821903),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957256082,2520100493,1,1,"(0.3860641419887543, 0.19137327373027802)","(0.3711186945438385, 0.11546781659126282)",1,1,2.7642059326171875,2.34912109375,"(-50.17727279663086, -46.41032028198242, 579.0287475585938)","(14.150856018066406, -53.986236572265625, 580.3465576171875)","(-40.987369537353516, 165.20054626464844, 49.486289978027344)","(-46.15140151977539, 179.06365966796875, 54.53207778930664)",POINT (0.3785914182662964 0.1534205451607704),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,34,757957272748,2520117159,1,1,"(0.3916160762310028, 0.18004456162452698)","(0.3692091405391693, 0.13050495088100433)",1,1,2.7415313720703125,2.361236572265625,"(-50.196502685546875, -46.40745544433594, 579.0440673828125)","(14.135736465454102, -53.979713439941406, 580.32861328125)","(-39.06904220581055, 167.26959228515625, 50.23936080932617)","(-46.81119918823242, 176.3173370361328, 53.5324821472168)",POINT (0.3804126083850861 0.1552747562527657),,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
