,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,31,29,355921426048,4249635123,1,1,"(0.44621962308883667, 0.6625033617019653)","(0.4246264398097992, 0.6377509832382202)",1,1,4.2008819580078125,3.840377807617188,"(-31.194786071777344, 15.031829833984375, 632.1084594726562)","(34.33293151855469, 9.644899368286133, 634.402099609375)","(-18.36614418029785, 79.33531188964844, 18.233888626098633)","(-25.848970413208008, 83.86923217773438, 19.88409996032715)",POINT (0.4354230314493179 0.6501271724700928),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921442716,4249651790,1,1,"(0.4469028413295746, 0.6686186194419861)","(0.42185309529304504, 0.6332378387451172)",1,1,4.2060089111328125,3.852462768554688,"(-31.19596290588379, 15.008600234985352, 632.1193237304688)","(34.33647918701172, 9.630844116210938, 634.4129638671875)","(-18.129379272460938, 78.21514892578125, 17.82621955871582)","(-26.81003189086914, 84.69590759277344, 20.185012817382812)",POINT (0.4343779683113098 0.6509282290935516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921459383,4249668457,1,1,"(0.44417116045951843, 0.6478762030601501)","(0.42376452684402466, 0.626448929309845)",1,1,4.232192993164063,3.859283447265625,"(-31.193470001220703, 14.939240455627441, 632.1298828125)","(34.3461799621582, 9.584307670593262, 634.4230346679688)","(-19.076004028320312, 82.0145492553711, 19.209121704101562)","(-26.14764404296875, 85.93942260742188, 20.63762855529785)",POINT (0.4339678436517716 0.6371625661849976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921476050,4249685123,1,1,"(0.4425699710845947, 0.6733831763267517)","(0.41620761156082153, 0.6347428560256958)",1,1,4.2138519287109375,3.86981201171875,"(-31.181541442871094, 14.859066009521484, 632.1432495117188)","(34.37273406982422, 9.538103103637695, 634.408935546875)","(-19.630889892578125, 77.34243774414062, 17.508535385131836)","(-28.766401290893555, 84.42021179199219, 20.084693908691406)",POINT (0.4293887913227081 0.6540630161762238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921492717,4249701790,1,1,"(0.4379262328147888, 0.6605595946311951)","(0.42642995715141296, 0.6657002568244934)",1,1,4.2619171142578125,3.8520355224609375,"(-31.15347671508789, 14.787415504455566, 632.1572875976562)","(34.39803695678711, 9.498565673828125, 634.384033203125)","(-21.2401123046875, 79.69132995605469, 18.363540649414062)","(-25.223974227905273, 78.74972534179688, 18.020767211914062)",POINT (0.4321780949831009 0.6631299257278442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921509385,4249718457,1,1,"(0.44551172852516174, 0.6653839349746704)","(0.4267130196094513, 0.652324914932251)",1,1,4.26409912109375,3.85101318359375,"(-31.111190795898438, 14.707802772521973, 632.1166381835938)","(34.43485641479492, 9.407795906066895, 634.3023681640625)","(-18.61146354675293, 78.80767059326172, 18.0418758392334)","(-25.125890731811523, 81.19969177246094, 18.912492752075195)",POINT (0.4361123740673065 0.6588544249534607),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921526051,4249735123,1,1,"(0.4445788562297821, 0.6808825731277466)","(0.42113059759140015, 0.6418507099151611)",1,1,4.2454681396484375,3.85205078125,"(-31.044723510742188, 14.639261245727539, 632.212646484375)","(34.50680923461914, 9.32905387878418, 634.33935546875)","(-18.934728622436523, 75.96875762939453, 17.008577346801758)","(-27.060396194458008, 83.11827087402344, 19.610843658447266)",POINT (0.4328547269105911 0.6613666415214539),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921542724,4249751795,1,1,"(0.4425513744354248, 0.6674113273620605)","(0.42006996273994446, 0.6564359664916992)",1,1,4.2693939208984375,3.861175537109375,"(-30.97504234313965, 14.538534164428711, 632.2412719726562)","(34.59198760986328, 9.259758949279785, 634.4427490234375)","(-19.6373233795166, 78.4363021850586, 17.906707763671875)","(-27.427955627441406, 80.44668579101562, 18.638389587402344)",POINT (0.4313106685876846 0.6619236469268799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921559391,4249768462,1,1,"(0.4414213001728058, 0.682037889957428)","(0.42687469720840454, 0.631260871887207)",1,1,4.260787963867188,3.85369873046875,"(-30.879680633544922, 14.45322322845459, 632.2960205078125)","(34.67414855957031, 9.138270378112793, 634.4451293945312)","(-20.028928756713867, 75.75711822509766, 16.931589126586914)","(-25.069854736328125, 85.05803680419922, 20.316816329956055)",POINT (0.4341479986906052 0.6566493809223175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921576058,4249785128,1,1,"(0.44764116406440735, 0.6783595085144043)","(0.41692399978637695, 0.6579854488372803)",1,1,4.2496490478515625,3.872604370117188,"(-30.772125244140625, 14.320643424987793, 632.3389282226562)","(34.79463195800781, 9.04443645477295, 634.5336303710938)","(-17.87351417541504, 76.4308853149414, 17.176837921142578)","(-28.518152236938477, 80.16284942626953, 18.53512191772461)",POINT (0.4322825819253922 0.6681724786758423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921592725,4249801795,1,1,"(0.4441792964935303, 0.6878764033317566)","(0.42332661151885986, 0.6488222479820251)",1,1,4.2440948486328125,3.850616455078125,"(-30.641857147216797, 14.223963737487793, 632.4749755859375)","(34.9036865234375, 8.904806137084961, 634.5443115234375)","(-19.073192596435547, 74.68766784667969, 16.542381286621094)","(-26.299392700195312, 81.84129333496094, 19.14601707458496)",POINT (0.4337529540061951 0.6683493256568909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921609393,4249818462,1,1,"(0.4431461691856384, 0.6618282794952393)","(0.4263380765914917, 0.6342190504074097)",1,1,4.258331298828125,3.845916748046875,"(-30.52544593811035, 14.085630416870117, 632.6077880859375)","(35.03012466430664, 8.726091384887695, 634.6537475585938)","(-19.43120765686035, 79.45893859863281, 18.27894401550293)","(-25.25582504272461, 84.51615905761719, 20.11962127685547)",POINT (0.4347421228885651 0.6480236649513245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921626060,4249835128,1,1,"(0.4460229277610779, 0.6674978733062744)","(0.42928192019462585, 0.647418200969696)",1,1,4.24517822265625,3.8485260009765625,"(-30.376144409179688, 13.992589950561523, 632.6785278320312)","(35.180816650390625, 8.617612838745117, 634.8290405273438)","(-18.43430519104004, 78.42046356201172, 17.900890350341797)","(-24.235671997070312, 82.09845733642578, 19.239635467529297)",POINT (0.4376524239778519 0.6574580371379852),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921642727,4249851795,1,1,"(0.4473706781864166, 0.6632538437843323)","(0.4236880838871002, 0.6433256268501282)",1,1,4.237701416015625,3.860855102539064,"(-30.22446632385254, 13.87034797668457, 632.81494140625)","(35.3155632019043, 8.461103439331055, 634.9828491210938)","(-17.96725845336914, 79.1978530883789, 18.183835983276367)","(-26.174144744873047, 82.8481216430664, 19.512432098388672)",POINT (0.4355293810367584 0.6532897353172302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921659395,4249868462,1,1,"(0.44498059153556824, 0.6598943471908569)","(0.4340916872024536, 0.6177549958229065)",1,1,4.2540130615234375,3.8599700927734375,"(-30.08413314819336, 13.814435958862305, 633.1849975585938)","(35.457523345947266, 8.305770874023438, 635.158447265625)","(-18.79550552368164, 79.81317901611328, 18.407869338989258)","(-22.56891441345215, 87.53191375732422, 21.21725082397461)",POINT (0.4395361393690109 0.6388246715068817),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,29,355921676066,4249885133,1,1,"(0.4437282085418701, 0.6589975953102112)","(0.4285219609737396, 0.6054726243019104)",1,1,4.2491607666015625,3.8773345947265625,"(-29.937877655029297, 13.732345581054688, 633.376220703125)","(35.5982780456543, 8.180280685424805, 635.45751953125)","(-19.229507446289062, 79.9774398803711, 18.467639923095703)","(-24.499032974243164, 89.78170013427734, 22.036088943481445)",POINT (0.4361250847578049 0.6322351098060608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
