,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,30,34,664288937,12548062632,1,1,"(0.44853684306144714, 0.632632315158844)","(0.40888160467147827, 0.6784690618515015)",1,1,3.284759521484375,3.103378295898437,"(-59.97220993041992, -37.956634521484375, 624.6585693359375)","(3.5057671070098877, -39.139495849609375, 625.5640258789062)","(-19.401472091674805, 84.61042022705078, 20.15389633178711)","(-33.103363037109375, 76.23893737792969, 17.106943130493164)",POINT (0.4287092238664627 0.6555506885051727),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664305605,12548079299,1,1,"(0.4462743103504181, 0.624863862991333)","(0.41075533628463745, 0.6819630265235901)",1,1,3.27459716796875,3.1003875732421875,"(-59.95237731933594, -37.94752502441406, 624.639892578125)","(3.5294113159179688, -39.13243103027344, 625.4339599609375)","(-20.183238983154297, 86.02923583984375, 20.670276641845703)","(-32.45594024658203, 75.600830078125, 16.874637603759766)",POINT (0.4285148233175278 0.6534134447574615),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664322273,12548095966,1,1,"(0.45230966806411743, 0.6206474900245667)","(0.4108082056045532, 0.6773378252983093)",1,1,3.2673797607421875,3.10858154296875,"(-59.92457580566406, -37.93925857543945, 624.5676879882812)","(3.5537450313568115, -39.125152587890625, 625.2390747070312)","(-18.097867965698242, 86.7992935180664, 20.95057487487793)","(-32.43767166137695, 76.445556640625, 17.1821346282959)",POINT (0.4315589368343353 0.648992657661438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664338940,12548112632,1,1,"(0.4510956108570099, 0.6297065615653992)","(0.41511523723602295, 0.6750010251998901)",1,1,3.2895965576171875,3.08612060546875,"(-59.90577697753906, -37.93023681640625, 624.4840698242188)","(3.5704855918884277, -39.122291564941406, 625.0987548828125)","(-18.517351150512695, 85.14476013183594, 20.348388671875)","(-30.949485778808594, 76.8723373413086, 17.337446212768555)",POINT (0.4331054240465164 0.6523537933826447),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664355607,12548129299,1,1,"(0.44366955757141113, 0.6366941332817078)","(0.41242995858192444, 0.6786909103393555)",1,1,3.302520751953125,3.0886383056640625,"(-59.89609146118164, -37.9199333190918, 624.419921875)","(3.577885627746582, -39.118133544921875, 625.0230102539062)","(-21.08324432373047, 83.86857604980469, 19.883878707885742)","(-31.87731170654297, 76.19843292236328, 17.092172622680664)",POINT (0.4280497580766678 0.6576925218105316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664372275,12548145966,1,1,"(0.4470372200012207, 0.6454800963401794)","(0.4100634753704071, 0.6830483675003052)",1,1,3.30963134765625,3.105377197265625,"(-59.89014434814453, -37.914161682128906, 624.35546875)","(3.5777039527893066, -39.1231803894043, 625.001220703125)","(-19.919633865356445, 82.26395416259766, 19.299835205078125)","(-32.69499969482422, 75.402587890625, 16.80251121520996)",POINT (0.4285503476858139 0.6642642319202423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664388943,12548162633,1,1,"(0.44870731234550476, 0.6437669396400452)","(0.417603462934494, 0.6663715243339539)",1,1,3.31048583984375,3.04437255859375,"(-59.895687103271484, -37.909934997558594, 624.3759155273438)","(3.5775105953216553, -39.12478256225586, 624.9798583984375)","(-19.34256362915039, 82.57682037353516, 19.41374969482422)","(-30.089738845825195, 78.44841766357422, 17.911087036132812)",POINT (0.4331553876399994 0.6550692319869995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664405610,12548179299,1,1,"(0.4470559358596802, 0.6349486112594604)","(0.41285407543182373, 0.6765822172164917)",1,1,3.2710723876953125,3.07037353515625,"(-59.92154312133789, -37.91476058959961, 624.3935546875)","(3.558896780014038, -39.13584518432617, 625.087890625)","(-19.913169860839844, 84.18738555908203, 19.99993133544922)","(-31.730785369873047, 76.58357238769531, 17.232343673706055)",POINT (0.429955005645752 0.6557654142379761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664422283,12548195971,1,1,"(0.45308917760849, 0.6322979927062988)","(0.4100531041622162, 0.6799105405807495)",1,1,3.279144287109375,3.0810699462890625,"(-59.952606201171875, -37.927284240722656, 624.4532470703125)","(3.5299837589263916, -39.14836883544922, 625.2284545898438)","(-17.82852554321289, 84.67147827148438, 20.176084518432617)","(-32.698577880859375, 75.97570037841797, 17.011058807373047)",POINT (0.4315711408853531 0.6561042666435242),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,30,34,664438949,12548212637,1,1,"(0.4551270604133606, 0.6259193420410156)","(0.4187895357608795, 0.6838406920433044)",1,1,3.2708282470703125,3.0999755859375,"(-59.98944854736328, -37.939430236816406, 624.4796142578125)","(3.4912331104278564, -39.1628532409668, 625.3687744140625)","(-17.124404907226562, 85.83647918701172, 20.60009002685547)","(-29.67991828918457, 75.25787353515625, 16.74982452392578)",POINT (0.4369582980871201 0.65488001704216),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
