,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,23,34,82419302156,606685422,1,1,"(0.4630902409553528, 0.33804962038993835)","(0.4495145380496979, 0.31170541048049927)",1,1,2.5843505859375,2.5130767822265625,"(-44.664798736572266, -43.047367095947266, 587.2858276367188)","(20.803443908691406, -37.06165313720703, 595.659423828125)","(-14.372908592224121, 138.41207885742188, 39.73601531982422)","(-19.06365394592285, 143.22348022460938, 41.4872932434082)",POINT (0.4563023895025253 0.3248775154352188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419318823,606702089,1,1,"(0.4633302688598633, 0.35023772716522217)","(0.445663720369339, 0.333771288394928)",1,1,2.5577545166015625,2.5143585205078125,"(-44.70709991455078, -43.0107421875, 587.3953857421875)","(20.748640060424805, -37.00837326049805, 595.447265625)","(-14.289973258972168, 136.18606567382812, 38.92586135864258)","(-20.394216537475586, 139.19345092773438, 40.020442962646484)",POINT (0.4544969946146011 0.3420045077800751),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419335489,606718755,1,1,"(0.46915391087532043, 0.34784913063049316)","(0.4408566653728485, 0.3309364914894104)",1,1,2.577743530273437,2.5131988525390625,"(-44.734474182128906, -43.019554138183594, 587.4112548828125)","(20.7481689453125, -37.001487731933594, 595.46728515625)","(-12.277750015258789, 136.622314453125, 39.08463668823242)","(-22.05516815185547, 139.71116638183594, 40.20893859863281)",POINT (0.4550052881240845 0.3393928110599518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419352162,606735427,1,1,"(0.46475422382354736, 0.3510091304779053)","(0.4460924565792084, 0.3263569176197052)",1,1,2.5623779296875,2.5099639892578125,"(-44.75446319580078, -43.016357421875, 587.388916015625)","(20.72279167175293, -37.005859375, 595.5670776367188)","(-13.797951698303223, 136.04518127441406, 38.87458419799805)","(-20.246076583862305, 140.54759216308594, 40.51328659057617)",POINT (0.4554233402013779 0.3386830240488052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419368829,606752094,1,1,"(0.4635184407234192, 0.35829389095306396)","(0.4452750086784363, 0.32644668221473694)",1,1,2.5682525634765625,2.504241943359375,"(-44.76177215576172, -43.011993408203125, 587.2723388671875)","(20.7015380859375, -37.010772705078125, 595.784423828125)","(-14.224957466125488, 134.71470642089844, 38.39036178588867)","(-20.528514862060547, 140.5311737060547, 40.50740051269531)",POINT (0.4543967247009277 0.3423702865839004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419385496,606768760,1,1,"(0.46791312098503113, 0.34730446338653564)","(0.44211268424987793, 0.30885180830955505)",1,1,2.563934326171875,2.4740142822265625,"(-44.7778434753418, -43.008399963378906, 587.28955078125)","(20.68165397644043, -37.0096435546875, 595.943115234375)","(-12.706485748291016, 136.72178649902344, 39.120849609375)","(-21.621177673339844, 143.74465942382812, 41.67696762084961)",POINT (0.4550129026174545 0.3280781358480454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419402163,606785427,1,1,"(0.46472489833831787, 0.3509458899497986)","(0.4480903446674347, 0.32095757126808167)",1,1,2.5623931884765625,2.488311767578125,"(-44.811134338378906, -43.010162353515625, 587.4002685546875)","(20.647083282470703, -37.001094818115234, 595.9452514648438)","(-13.808091163635254, 136.05670166015625, 38.87887191772461)","(-19.555755615234375, 141.53369140625, 40.87226867675781)",POINT (0.4564076215028763 0.3359517306089401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419418831,606802094,1,1,"(0.4628857374191284, 0.3486443758010864)","(0.44858816266059875, 0.309099942445755)",1,1,2.5623931884765625,2.486114501953125,"(-44.83795928955078, -43.00824737548828, 587.5319213867188)","(20.62910270690918, -36.99193572998047, 595.9266357421875)","(-14.44356918334961, 136.47706604003906, 39.03178787231445)","(-19.38374137878418, 143.69932556152344, 41.66050338745117)",POINT (0.4557369500398636 0.3288721591234207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419435497,606818760,1,1,"(0.4612666964530945, 0.34076088666915894)","(0.45278334617614746, 0.3112102150917053)",1,1,2.5404205322265625,2.486923217773437,"(-44.85462188720703, -43.005035400390625, 587.5875244140625)","(20.621288299560547, -36.97152328491211, 595.8681640625)","(-15.002992630004883, 137.9168701171875, 39.55586624145508)","(-17.9341983795166, 143.31393432617188, 41.52016067504883)",POINT (0.457025021314621 0.3259855508804321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,23,34,82419452165,606835427,1,1,"(0.4651927947998047, 0.3357672691345215)","(0.44816553592681885, 0.30307090282440186)",1,1,2.55194091796875,2.475799560546875,"(-44.87128448486328, -42.99189376831055, 587.6431884765625)","(20.620830535888672, -36.940101623535156, 595.8873291015625)","(-13.646421432495117, 138.82888793945312, 39.8878173828125)","(-19.52977180480957, 144.80047607421875, 42.061222076416016)",POINT (0.4566791653633118 0.3194190859794617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
