,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,14,34,237286017173,3918760997,1,1,"(0.411052942276001, 0.24878063797950745)","(0.4314559996128082, 0.13781465590000153)",1,1,3.1580047607421875,3.4807281494140625,"(-4.124533653259277, 88.91114807128906, 519.6749267578125)","(59.93970489501953, 96.19662475585938, 510.864013671875)","(-30.0676326751709, 160.4904022216797, 47.771934509277344)","(-22.962566375732422, 180.91583251953125, 55.206180572509766)",POINT (0.4212544709444046 0.1932976469397545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286033840,3918777664,1,1,"(0.423589825630188, 0.19327139854431152)","(0.4489292800426483, 0.16933326423168182)",1,1,3.104232788085937,3.492645263671875,"(-3.727332592010498, 89.26725769042969, 519.1657104492188)","(60.36035919189453, 96.43572998046875, 510.3904724121094)","(-25.701847076416016, 170.7079315185547, 51.49081802368164)","(-16.877750396728516, 175.1142120361328, 53.094573974609375)",POINT (0.4362595528364182 0.1813023313879967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286050508,3918794331,1,1,"(0.43055516481399536, 0.1945929378271103)","(0.44631287455558777, 0.13952146470546722)",1,1,3.1273651123046875,3.4796295166015625,"(-3.207329750061035, 89.7314224243164, 518.7091064453125)","(60.89972686767578, 96.74821472167969, 509.84515380859375)","(-23.276269912719727, 170.4646759033203, 51.402286529541016)","(-17.78887367248535, 180.6016387939453, 55.09184646606445)",POINT (0.4384340196847916 0.1670572012662888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286067174,3918810997,1,1,"(0.4301515817642212, 0.20848698914051056)","(0.4362521767616272, 0.14523328840732574)",1,1,3.0988006591796875,3.4628143310546875,"(-2.6046557426452637, 90.32339477539062, 518.2830810546875)","(61.51250457763672, 97.20516967773438, 509.3946228027344)","(-23.416820526123047, 167.90721130371094, 50.47144317626953)","(-21.292367935180664, 179.55026245117188, 54.70917510986328)",POINT (0.4332018792629242 0.1768601387739182),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286083842,3918827664,1,1,"(0.4340932071208954, 0.19223245978355408)","(0.4405704438686371, 0.15191695094108582)",1,1,3.1108856201171875,3.4674072265625,"(-1.9401437044143677, 90.99116516113281, 517.9396362304688)","(62.17879104614258, 97.7578125, 508.8362731933594)","(-22.0441951751709, 170.899169921875, 51.560420989990234)","(-19.788585662841797, 178.3200225830078, 54.26138687133789)",POINT (0.4373318254947662 0.17207470536232),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286100509,3918844331,1,1,"(0.4233013689517975, 0.23056763410568237)","(0.4440331757068634, 0.15485164523124695)",1,1,3.1340789794921875,3.4763336181640625,"(-1.2063668966293335, 91.74920654296875, 517.529052734375)","(62.92047882080078, 98.41119384765625, 508.4530944824219)","(-25.802303314208984, 163.8428497314453, 48.99213790893555)","(-18.582752227783203, 177.77981567382812, 54.0648078918457)",POINT (0.4336672723293304 0.1927096396684647),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286117175,3918860997,1,1,"(0.42796239256858826, 0.21703621745109558)","(0.44179779291152954, 0.1535988450050354)",1,1,3.1173858642578125,3.4865875244140625,"(-0.3943195641040802, 92.56861877441406, 517.228515625)","(63.74751281738281, 99.11177062988281, 507.9958801269531)","(-24.179157257080078, 166.3335723876953, 49.898681640625)","(-19.361183166503906, 178.01043701171875, 54.1486930847168)",POINT (0.4348800927400589 0.1853175312280655),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286133843,3918877664,1,1,"(0.4403993487358093, 0.2123638242483139)","(0.4354439973831177, 0.15383471548557281)",1,1,3.0732574462890625,3.5013580322265625,"(0.510845959186554, 93.35746765136719, 516.8021850585938)","(64.65931701660156, 99.77626037597656, 507.55035400390625)","(-19.848176956176758, 167.19361877441406, 50.21172332763672)","(-21.573802947998047, 177.96701049804688, 54.13291549682617)",POINT (0.4379216730594635 0.1830992698669434),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286150516,3918894337,1,1,"(0.4338923394680023, 0.2253456562757492)","(0.4342440068721771, 0.1398371160030365)",1,1,3.12542724609375,3.45379638671875,"(1.5404348373413086, 94.1434555053711, 516.4102783203125)","(65.70266723632812, 100.42021179199219, 507.0670166015625)","(-22.114154815673828, 164.80404663085938, 49.34200668334961)","(-21.9916934967041, 180.54354858398438, 55.07069396972656)",POINT (0.4340681731700897 0.1825913861393928),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,14,34,237286167183,3918911003,1,1,"(0.42605453729629517, 0.21922887861728668)","(0.4436911344528198, 0.13399940729141235)",1,1,3.0720977783203125,3.49261474609375,"(2.6824796199798584, 94.849609375, 515.79296875)","(66.86119079589844, 101.01622009277344, 506.5251770019531)","(-24.843544006347656, 165.92996215820312, 49.75178146362305)","(-18.70186424255371, 181.61810302734375, 55.4617805480957)",POINT (0.4348728358745575 0.1766141429543495),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
