,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,56,34,59395552562,1171846424,1,1,"(0.6949617266654968, 0.16045254468917847)","(0.7137035727500916, 0.1497986614704132)",1,1,2.4591522216796875,2.735198974609375,"(-43.931358337402344, 45.69403076171875, 646.424072265625)","(23.572242736816406, 43.9126091003418, 649.2846069335938)","(65.74455261230469, 170.84780883789062, 51.5417366027832)","(72.22034454345703, 172.7936248779297, 52.24988555908203)",POINT (0.7043326497077942 0.1551256030797958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,34,59395569229,1171863091,1,1,"(0.7013485431671143, 0.12665300071239471)","(0.722874104976654, 0.13864471018314362)",1,1,2.4355926513671875,2.7622528076171875,"(-43.854610443115234, 45.50920104980469, 645.8983154296875)","(23.642803192138672, 43.773651123046875, 649.537841796875)","(67.95135498046875, 177.02084350585938, 53.78855514526367)","(75.38898468017578, 174.8307342529297, 52.99136734008789)",POINT (0.7121113240718842 0.1326488554477692),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395585896,1171879757,1,1,"(0.6977793574333191, 0.1311817169189453)","(0.7238979935646057, 0.1396411806344986)",1,1,2.4574737548828125,2.732208251953125,"(-43.81809616088867, 45.39347839355469, 645.76611328125)","(23.691272735595703, 43.60996627807617, 648.9512329101562)","(66.7181167602539, 176.1937255859375, 53.48753356933594)","(75.74276733398438, 174.6487579345703, 52.92508316040039)",POINT (0.7108386754989624 0.135411448776722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395602563,1171896424,1,1,"(0.7037224769592285, 0.14262183010578156)","(0.7131903767585754, 0.13966457545757294)",1,1,2.4428253173828125,2.75408935546875,"(-43.777217864990234, 45.31281280517578, 645.679443359375)","(23.718740463256836, 43.516109466552734, 648.55322265625)","(68.77159881591797, 174.1043701171875, 52.72697448730469)","(72.0429916381836, 174.64443969726562, 52.923648834228516)",POINT (0.708456426858902 0.1411432027816772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,34,59395619231,1171913091,1,1,"(0.6965917944908142, 0.13191556930541992)","(0.7293979525566101, 0.1293632537126541)",1,1,2.478866577148437,2.7646026611328125,"(-43.74158477783203, 45.29102325439453, 645.6142578125)","(23.767488479614258, 43.5192985534668, 648.759521484375)","(66.3077621459961, 176.05970764160156, 53.438724517822266)","(77.64312744140625, 176.52586364746094, 53.608360290527344)",POINT (0.7129948735237122 0.130639411509037),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395635897,1171929757,1,1,"(0.6961039900779724, 0.1356259435415268)","(0.7289391160011292, 0.12755191326141357)",1,1,2.45849609375,2.771728515625,"(-43.701622009277344, 45.36277770996094, 645.5966796875)","(23.818340301513672, 43.59341049194336, 648.8492431640625)","(66.13922119140625, 175.38204956054688, 53.19209289550781)","(77.4845962524414, 176.85667419433594, 53.728782653808594)",POINT (0.7125215530395508 0.1315889284014702),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395652568,1171946427,1,1,"(0.6910737752914429, 0.15265026688575745)","(0.7204679250717163, 0.12379240989685059)",1,1,2.4667205810546875,2.7583770751953125,"(-43.67552947998047, 45.51573944091797, 645.6907958984375)","(23.861705780029297, 43.77840042114258, 649.07958984375)","(64.40115356445312, 172.27276611328125, 52.060462951660156)","(74.5575942993164, 177.54331970214844, 53.9786376953125)",POINT (0.7057708501815796 0.138221338391304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395669235,1171963094,1,1,"(0.7062010169029236, 0.1357758492231369)","(0.7229428291320801, 0.11853431165218353)",1,1,2.44891357421875,2.7513885498046875,"(-43.65724182128906, 45.73600387573242, 645.80908203125)","(23.883010864257812, 43.9992790222168, 649.147705078125)","(69.62800598144531, 175.35470581054688, 53.18204116821289)","(75.4127197265625, 178.50363159179688, 54.32819366455078)",POINT (0.7145719230175018 0.1271550804376602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395685902,1171979760,1,1,"(0.7011951208114624, 0.12379983067512512)","(0.7161635160446167, 0.12380201369524002)",1,1,2.483245849609375,2.7512359619140625,"(-43.63252639770508, 45.99980163574219, 645.9999389648438)","(23.892120361328125, 44.24595642089844, 649.1937255859375)","(67.89834594726562, 177.5419464111328, 53.97819137573242)","(73.07030487060547, 177.5415496826172, 53.97804260253906)",POINT (0.7086793184280396 0.1238009221851826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395702569,1171996427,1,1,"(0.7043857574462891, 0.12563197314739227)","(0.723705530166626, 0.14973998069763184)",1,1,2.45941162109375,2.769134521484375,"(-43.59435272216797, 46.28224563598633, 646.1207275390625)","(23.918712615966797, 44.53120422363281, 649.3779907226562)","(69.00080108642578, 177.2073516845703, 53.85634231567383)","(75.67626190185547, 172.80430603027344, 52.253883361816406)",POINT (0.7140456438064575 0.137685976922512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395719237,1172013094,1,1,"(0.7100839614868164, 0.1554640233516693)","(0.7185621857643127, 0.14397957921028137)",1,1,2.48529052734375,2.7756500244140625,"(-43.591636657714844, 46.617088317871094, 646.863525390625)","(23.955406188964844, 44.808921813964844, 649.7025146484375)","(70.96965789794922, 171.75889587402344, 51.87334442138672)","(73.89911651611328, 173.85638427734375, 52.636756896972656)",POINT (0.7143230736255646 0.1497218012809753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,34,59395735903,1172029760,1,1,"(0.7138408422470093, 0.16225796937942505)","(0.7134038209915161, 0.14233152568340302)",1,1,2.4787750244140625,2.8070068359375,"(-43.55804443359375, 46.90482711791992, 647.3350830078125)","(24.00929832458496, 45.070884704589844, 650.0492553710938)","(72.26775360107422, 170.51808166503906, 51.421695709228516)","(72.11676025390625, 174.15737915039062, 52.746307373046875)",POINT (0.7136223316192627 0.152294747531414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,34,59395752571,1172046427,1,1,"(0.7027020454406738, 0.15398354828357697)","(0.7202237844467163, 0.14253421127796173)",1,1,2.489715576171875,2.8049774169921875,"(-43.46327209472656, 47.115394592285156, 647.511962890625)","(24.07830047607422, 45.3120231628418, 650.536376953125)","(68.41902160644531, 172.029296875, 51.97173309326172)","(74.47323608398438, 174.120361328125, 52.73283386230469)",POINT (0.7114629149436951 0.1482588797807694),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,34,59395769244,1172063100,1,1,"(0.6227680444717407, 0.2411869317293167)","(0.6666451692581177, 0.18002571165561676)",1,1,2.4680633544921875,2.7939605712890625,"(-43.5815315246582, 47.29690170288086, 647.986328125)","(23.964624404907227, 45.494659423828125, 651.130126953125)","(40.799800872802734, 156.1027374267578, 46.17498016357422)","(55.9604606628418, 167.27304077148438, 50.240596771240234)",POINT (0.6447066068649292 0.2106063216924667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59395785912,1172079767,1,1,"(0.4948427975177765, 0.2488567978143692)","(0.519817054271698, 0.22819453477859497)",1,1,2.474151611328125,2.7841796875,"(-43.85942077636719, 47.374393463134766, 648.273193359375)","(23.594579696655273, 45.553829193115234, 651.0380859375)","(-3.4015984535217285, 154.7019500732422, 45.66510009765625)","(5.227649688720703, 158.4756622314453, 47.038551330566406)",POINT (0.5073299258947372 0.2385256662964821),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59395802579,1172096434,1,1,"(0.48364490270614624, 0.2718779146671295)","(0.49860212206840515, 0.2577308118343353)",1,1,2.4935302734375,2.809356689453125,"(-43.853294372558594, 47.46815490722656, 648.743408203125)","(23.606571197509766, 45.68942642211914, 651.7411499023438)","(-7.270755767822266, 150.4974365234375, 44.13481140136719)","(-2.1026651859283447, 153.08123779296875, 45.0751838684082)",POINT (0.4911235123872757 0.2648043632507324),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59395819247,1172113101,1,1,"(0.4822903275489807, 0.2622627913951874)","(0.48514893651008606, 0.2686040699481964)",1,1,2.5103912353515625,2.793304443359375,"(-43.73622131347656, 47.560508728027344, 648.945556640625)","(23.746999740600586, 45.72026062011719, 651.8964233398438)","(-7.738800525665283, 152.25352478027344, 44.77394104003906)","(-6.751060485839844, 151.09536743164062, 44.352420806884766)",POINT (0.4837196320295334 0.2654334306716919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59395835913,1172129767,1,1,"(0.4848366379737854, 0.28601154685020447)","(0.4943285584449768, 0.253040611743927)",1,1,2.501815795898437,2.816558837890625,"(-43.62322235107422, 47.59832000732422, 649.0792236328125)","(23.860715866088867, 45.72430419921875, 652.147705078125)","(-6.858973979949951, 147.9161376953125, 43.195220947265625)","(-3.5792880058288574, 153.9378204345703, 45.38701629638672)",POINT (0.4895825982093811 0.2695260792970657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59395852581,1172146434,1,1,"(0.4827221632003784, 0.27101683616638184)","(0.4939219057559967, 0.24614939093589783)",1,1,2.523422241210937,2.802581787109375,"(-43.4946403503418, 47.583709716796875, 649.1688232421875)","(24.002117156982422, 45.687255859375, 652.2559814453125)","(-7.589577674865723, 150.6547088623047, 44.192039489746094)","(-3.7197813987731934, 155.1964111328125, 45.8451042175293)",POINT (0.4883220344781876 0.2585831135511398),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59395869247,1172163100,1,1,"(0.4872753620147705, 0.27243509888648987)","(0.4869503378868103, 0.27251774072647095)",1,1,2.5240631103515625,2.8187408447265625,"(-43.38737487792969, 47.56919860839844, 649.3704833984375)","(24.12049102783203, 45.619781494140625, 652.2477416992188)","(-6.016335487365723, 150.39569091796875, 44.09773635864258)","(-6.128652095794678, 150.38058471679688, 44.09226989746094)",POINT (0.4871128499507904 0.2724764198064804),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59395885915,1172179767,1,1,"(0.4958764910697937, 0.2655456066131592)","(0.49685201048851013, 0.22950862348079681)",1,1,2.497314453125,2.8081207275390625,"(-43.31583786010742, 47.56426239013672, 649.6380615234375)","(24.28659439086914, 45.57684326171875, 652.6846923828125)","(-3.0444328784942627, 151.6539764404297, 44.5556755065918)","(-2.7073681354522705, 158.2356414794922, 46.95125198364258)",POINT (0.4963642507791519 0.247527115046978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,56,34,59396052586,1172346433,1,1,"(0.3099043667316437, 0.1526055932044983)","(0.3113921582698822, 0.2209341675043106)",1,1,2.528182983398437,2.7864990234375,"(-43.58341979980469, 47.096160888671875, 648.8986206054688)","(24.08111572265625, 45.191070556640625, 651.2158203125)","(-67.30250549316406, 172.28097534179688, 52.063297271728516)","(-66.78843688964844, 159.80165100097656, 47.521236419677734)",POINT (0.3106482625007629 0.1867698803544044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,34,59396069261,1172363108,1,1,"(0.2890321612358093, 0.1455836296081543)","(0.3234366774559021, 0.20952114462852478)",1,1,2.4974365234375,2.794464111328125,"(-43.63288116455078, 47.23463439941406, 649.055419921875)","(24.02284812927246, 45.373817443847656, 651.5254516601562)","(-74.51437377929688, 173.5634307861328, 52.53010559082031)","(-62.626747131347656, 161.8860626220703, 48.27997970581055)",POINT (0.3062344193458557 0.1775523871183395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
