,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,14,29,237376081134,4008822465,1,1,"(0.41119569540023804, 0.4942108988761902)","(0.42345431447029114, 0.4444020986557007)",1,1,3.499862670898437,3.956451416015625,"(-16.256786346435547, 82.41497802734375, 454.7930603027344)","(48.58476638793945, 85.24967956542969, 451.30841064453125)","(-30.01793670654297, 115.31425476074219, 31.32916259765625)","(-25.749034881591797, 124.48250579833984, 34.66614532470703)",POINT (0.4173250049352646 0.4693064987659454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376097801,4008839132,1,1,"(0.4178161323070526, 0.4838453531265259)","(0.4286835193634033, 0.44768086075782776)",1,1,3.4830322265625,3.9932708740234375,"(-16.42530632019043, 82.24249267578125, 455.3555908203125)","(48.42878723144531, 84.9583740234375, 451.8227233886719)","(-27.712446212768555, 117.22221374511719, 32.023624420166016)","(-23.92803382873535, 123.87899780273438, 34.44647216796875)",POINT (0.423249825835228 0.4657631069421768),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376114468,4008855798,1,1,"(0.40671852231025696, 0.4879017472267151)","(0.42884302139282227, 0.4573476314544678)",1,1,3.531341552734375,3.93670654296875,"(-16.51768684387207, 82.02922058105469, 455.67364501953125)","(48.36280059814453, 84.7388687133789, 452.5057373046875)","(-31.5770206451416, 116.47554779052734, 31.751853942871094)","(-23.87249755859375, 122.09962463378906, 33.7988395690918)",POINT (0.4177807718515396 0.4726246893405914),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,29,237376131135,4008872465,1,1,"(0.4202892482280731, 0.4843139052391052)","(0.4319700300693512, 0.42496469616889954)",1,1,3.504745483398437,3.9107818603515625,"(-16.54505729675293, 81.98867797851562, 456.18084716796875)","(48.36631393432617, 84.57981872558594, 453.1241455078125)","(-26.85121726989746, 117.1359634399414, 31.99222755432129)","(-22.783559799194336, 128.06033325195312, 35.96836853027344)",POINT (0.4261296391487122 0.4546393007040024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376147805,4008889134,1,1,"(0.41764530539512634, 0.47721898555755615)","(0.4251915216445923, 0.42736339569091797)",1,1,3.4568328857421875,3.87884521484375,"(-16.50702476501465, 81.87222290039062, 456.3859558105469)","(48.39979553222656, 84.35472106933594, 453.3900451660156)","(-27.77193260192871, 118.44194030761719, 32.46753692626953)","(-25.144073486328125, 127.61881256103516, 35.807655334472656)",POINT (0.4214184135198593 0.4522911906242371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376164469,4008905798,1,1,"(0.41147664189338684, 0.502795934677124)","(0.4293902814388275, 0.4484655559062958)",1,1,3.492767333984375,3.927291870117188,"(-16.402347564697266, 81.80622863769531, 456.6168212890625)","(48.50322341918945, 84.23890686035156, 453.805908203125)","(-29.920082092285156, 113.7340087890625, 30.75397491455078)","(-23.68192481994629, 123.73455047607422, 34.39393615722656)",POINT (0.4204334616661072 0.4756307452917099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,29,237376181139,4008922467,1,1,"(0.4098159372806549, 0.4988239109516144)","(0.4264536499977112, 0.4309944212436676)",1,1,3.502670288085937,3.8908538818359375,"(-16.272720336914062, 81.74121856689453, 456.8450012207031)","(48.62730026245117, 84.0089111328125, 453.8063659667969)","(-30.498390197753906, 114.46513366699219, 31.020105361938477)","(-24.70456314086914, 126.95045471191406, 35.56440353393555)",POINT (0.418134793639183 0.464909166097641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376197806,4008939134,1,1,"(0.408934623003006, 0.502861499786377)","(0.4213109016418457, 0.4113725423812866)",1,1,3.520980834960937,3.8905029296875,"(-16.117813110351562, 81.67344665527344, 456.983154296875)","(48.79283905029297, 83.87935638427734, 454.11798095703125)","(-30.8053035736084, 113.72193908691406, 30.749595642089844)","(-26.495445251464844, 130.56224060058594, 36.87898254394531)",POINT (0.4151227623224258 0.4571170210838318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376214479,4008955806,1,1,"(0.3992197811603546, 0.5002715587615967)","(0.4138629734516144, 0.3936416208744049)",1,1,3.484466552734375,3.830902099609375,"(-15.939407348632812, 81.56414794921875, 456.9666748046875)","(48.97300720214844, 83.71522521972656, 454.1885986328125)","(-34.1883659362793, 114.19867706298828, 30.923118591308594)","(-29.089073181152344, 133.82594299316406, 38.06689453125)",POINT (0.4065413773059845 0.4469565898180008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376231146,4008972473,1,1,"(0.41391006112098694, 0.49002933502197266)","(0.42733463644981384, 0.4347889721393585)",1,1,3.4267730712890625,3.897232055664064,"(-15.772602081298828, 81.52311706542969, 457.17529296875)","(49.160911560058594, 83.56045532226562, 454.24273681640625)","(-29.072677612304688, 116.08394622802734, 31.60930633544922)","(-24.39777946472168, 126.25198364257812, 35.3101692199707)",POINT (0.4206223487854004 0.4624091535806656),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376247814,4008989140,1,1,"(0.41202184557914734, 0.47874313592910767)","(0.4291563332080841, 0.41859132051467896)",1,1,3.4510650634765625,3.880569458007813,"(-15.58926773071289, 81.45272827148438, 457.37451171875)","(49.34761428833008, 83.4031753540039, 454.2636413574219)","(-29.730224609375, 118.16138458251953, 32.36543273925781)","(-23.763381958007812, 129.2334747314453, 36.39536666870117)",POINT (0.4205890893936157 0.4486672282218933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376264480,4009005806,1,1,"(0.4241885840892792, 0.4964863061904907)","(0.42838791012763977, 0.4224967062473297)",1,1,3.44744873046875,3.85205078125,"(-15.38507080078125, 81.31566619873047, 457.2460021972656)","(49.551513671875, 83.28022003173828, 454.31494140625)","(-25.493328094482422, 114.89541625976562, 31.17673110961914)","(-24.03097915649414, 128.51461791992188, 36.133705139160156)",POINT (0.4262882471084595 0.4594915062189102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376281148,4009022473,1,1,"(0.4170754551887512, 0.48506131768226624)","(0.43143966794013977, 0.41125738620758057)",1,1,3.405670166015625,3.84686279296875,"(-15.159257888793945, 81.19954681396484, 457.3869323730469)","(49.76947021484375, 83.08964538574219, 454.1264953613281)","(-27.970367431640625, 116.99839782714844, 31.942155838012695)","(-22.9682559967041, 130.58343505859375, 36.88670349121094)",POINT (0.4242575615644455 0.4481593519449234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376297815,4009039140,1,1,"(0.41162756085395813, 0.47494715452194214)","(0.43013495206832886, 0.4323364794254303)",1,1,3.43218994140625,3.816329956054688,"(-14.900100708007812, 81.06572723388672, 457.286376953125)","(50.012290954589844, 82.93389892578125, 453.9776611328125)","(-29.867528915405273, 118.86011505126953, 32.61975860595703)","(-23.422597885131836, 126.70340728759766, 35.47451400756836)",POINT (0.4208812564611435 0.4536418169736862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376314482,4009055806,1,1,"(0.4113878309726715, 0.45332416892051697)","(0.424600750207901, 0.41013386845588684)",1,1,3.392852783203125,3.831222534179688,"(-14.586973190307617, 80.88299560546875, 457.2337951660156)","(50.32258987426758, 82.77076721191406, 453.88104248046875)","(-29.951013565063477, 122.8402328491211, 34.06841278076172)","(-25.349796295166016, 130.7902374267578, 36.96196746826172)",POINT (0.4179942905902862 0.4317290186882019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,29,237376331150,4009072474,1,1,"(0.3735295534133911, 0.47603246569633484)","(0.3953019082546234, 0.4148496985435486)",1,1,3.4935302734375,3.841506958007813,"(-14.356314659118652, 80.87464904785156, 457.49725341796875)","(50.559349060058594, 82.6813735961914, 453.63714599609375)","(-43.13459014892578, 118.66032409667969, 32.547054290771484)","(-35.55269241333008, 129.92218017578125, 36.646034240722656)",POINT (0.3844157308340073 0.4454410821199417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
