,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,38,29,687427080677,1065492675,1,1,"(0.3279874622821808, 0.1866316795349121)","(0.2541806101799011, 0.15345296263694763)",1,1,3.113006591796875,3.0574951171875,"(-37.61637878417969, 34.87318420410156, 552.7940063476562)","(23.984848022460938, 37.9196662902832, 549.9600830078125)","(-61.05434036254883, 166.06654357910156, 49.801483154296875)","(-86.55645751953125, 172.12619018554688, 52.00700759887695)",POINT (0.291084036231041 0.1700423210859299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427097348,1065509346,1,1,"(0.31598731875419617, 0.17122970521450043)","(0.25279495120048523, 0.153303861618042)",1,1,3.0650634765625,3.0111846923828125,"(-37.668861389160156, 34.84642791748047, 552.7028198242188)","(23.91759490966797, 37.92946243286133, 550.0823974609375)","(-65.2007064819336, 168.87953186035156, 50.82530212402344)","(-87.0352554321289, 172.1534423828125, 52.01688766479492)",POINT (0.2843911349773407 0.1622667834162712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427114017,1065526013,1,1,"(0.323163241147995, 0.17900049686431885)","(0.25116774439811707, 0.14974255859851837)",1,1,3.08709716796875,3.007904052734375,"(-37.74822998046875, 34.84131622314453, 552.9072875976562)","(23.85366439819336, 37.909706115722656, 549.8850708007812)","(-62.72123336791992, 167.46026611328125, 50.30875015258789)","(-87.59749603271484, 172.80384826660156, 52.25368881225586)",POINT (0.287165492773056 0.1643715277314186),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427130684,1065542680,1,1,"(0.3207502067089081, 0.1857556402683258)","(0.25164008140563965, 0.1425722986459732)",1,1,3.107452392578125,3.017608642578125,"(-37.79209899902344, 34.82115936279297, 552.7737426757812)","(23.80879783630371, 37.9169921875, 549.84619140625)","(-63.554988861083984, 166.22654724121094, 49.85969543457031)","(-87.43428039550781, 174.11338806152344, 52.73032760620117)",POINT (0.2861951440572739 0.1641639694571495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427147349,1065559344,1,1,"(0.3219817876815796, 0.20341193675994873)","(0.2518714964389801, 0.1471569836139679)",1,1,3.1421356201171875,3.01470947265625,"(-37.82193374633789, 34.80607223510742, 552.7442626953125)","(23.767160415649414, 37.93006134033203, 550.050537109375)","(-63.129451751708984, 163.00184631347656, 48.68605041503906)","(-87.35431671142578, 173.2760467529297, 52.425575256347656)",POINT (0.2869266420602798 0.1752844601869583),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427164017,1065576012,1,1,"(0.31839966773986816, 0.18175221979618073)","(0.2572077214717865, 0.16023632884025574)",1,1,3.0877685546875,3.042449951171875,"(-37.85541534423828, 34.812767028808594, 552.7492065429688)","(23.731969833374023, 37.94477081298828, 550.06982421875)","(-64.3671646118164, 166.9577178955078, 50.12584686279297)","(-85.51052856445312, 170.88731384277344, 51.55607223510742)",POINT (0.2878036946058273 0.1709942743182182),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427180684,1065592678,1,1,"(0.3204832375049591, 0.20644128322601318)","(0.24582557380199432, 0.15039484202861786)",1,1,3.159393310546875,3.035263061523437,"(-37.92424774169922, 34.83545684814453, 552.920654296875)","(23.66912841796875, 37.951515197753906, 549.9312133789062)","(-63.64724349975586, 162.4485626220703, 48.48468780517578)","(-89.44335174560547, 172.68472290039062, 52.21031951904297)",POINT (0.2831544056534767 0.1784180626273155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427197350,1065609344,1,1,"(0.2926778197288513, 0.17900951206684113)","(0.2262468785047531, 0.15749616920948029)",1,1,3.1043853759765625,3.0724029541015625,"(-37.996665954589844, 34.82538604736328, 552.7412109375)","(23.53247833251953, 37.969329833984375, 550.1087036132812)","(-73.25471496582031, 167.45863342285156, 50.30815124511719)","(-96.20828247070312, 171.3877716064453, 51.73823547363281)",POINT (0.2594623491168022 0.1682528406381607),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427214019,1065626012,1,1,"(0.28878334164619446, 0.15703710913658142)","(0.23043471574783325, 0.13369274139404297)",1,1,3.0854949951171875,3.0386962890625,"(-38.000953674316406, 34.8018798828125, 552.7734375)","(23.529705047607422, 37.95930862426758, 550.1340942382812)","(-74.60035705566406, 171.4716033935547, 51.768775939941406)","(-94.76126861572266, 175.73512268066406, 53.32057571411133)",POINT (0.2596090286970138 0.1453649252653122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427230689,1065642682,1,1,"(0.29153013229370117, 0.1477193385362625)","(0.2317880094051361, 0.12718313932418823)",1,1,3.0770721435546875,3.022079467773437,"(-38.008853912353516, 34.79163360595703, 552.8238525390625)","(23.52921485900879, 37.95033645629883, 550.167236328125)","(-73.65125274658203, 173.17337036132812, 52.388126373291016)","(-94.29367065429688, 176.92404174804688, 53.75328826904297)",POINT (0.2616590708494186 0.1374512389302254),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427247359,1065659351,1,1,"(0.29253605008125305, 0.15181393921375275)","(0.2257920354604721, 0.13295195996761322)",1,1,3.107269287109375,3.0269775390625,"(-38.0047721862793, 34.770355224609375, 552.8670654296875)","(23.539859771728516, 37.936607360839844, 550.2175903320312)","(-73.30369567871094, 172.42555236816406, 52.115936279296875)","(-96.36543273925781, 175.8704071044922, 53.36984634399414)",POINT (0.2591640427708626 0.142382949590683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427264023,1065676015,1,1,"(0.289005309343338, 0.14926204085350037)","(0.2247386872768402, 0.1227593868970871)",1,1,3.094223022460937,3.0149383544921875,"(-37.994258880615234, 34.76068115234375, 552.927978515625)","(23.560741424560547, 37.91937255859375, 550.224609375)","(-74.52364349365234, 172.8916015625, 52.285614013671875)","(-96.7293930053711, 177.7319793701172, 54.04735565185547)",POINT (0.2568719983100891 0.1360107138752937),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427280691,1065692682,1,1,"(0.2872154414653778, 0.14103734493255615)","(0.22720324993133545, 0.1433505415916443)",1,1,3.102691650390625,3.068267822265625,"(-37.981781005859375, 34.762298583984375, 553.0062255859375)","(23.59086036682129, 37.91637420654297, 550.2899169921875)","(-75.14208984375, 174.3937530517578, 52.83230209350586)","(-95.87781524658203, 173.9712677001953, 52.6785774230957)",POINT (0.2572093456983566 0.1421939432621002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427297358,1065709349,1,1,"(0.3030245304107666, 0.1882154494524002)","(0.22810512781143188, 0.14252346754074097)",1,1,3.1771392822265625,3.063461303710937,"(-37.961055755615234, 34.77334976196289, 553.0853271484375)","(23.61449432373047, 37.90447998046875, 550.1788330078125)","(-69.6796646118164, 165.77728271484375, 49.696197509765625)","(-95.56620788574219, 174.122314453125, 52.733577728271484)",POINT (0.2655648291110992 0.1653694584965706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427314028,1065726018,1,1,"(0.291361927986145, 0.15382824838161469)","(0.2293829619884491, 0.12878671288490295)",1,1,3.1228179931640625,3.028671264648437,"(-37.91644287109375, 34.775360107421875, 553.0820922851562)","(23.649394989013672, 37.89938735961914, 550.075439453125)","(-73.70938873291016, 172.05764770507812, 51.98210144042969)","(-95.12467193603516, 176.63116455078125, 53.64666748046875)",POINT (0.2603724449872971 0.1413074806332588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427330692,1065742682,1,1,"(0.28120025992393494, 0.14404715597629547)","(0.2213287204504013, 0.13336361944675446)",1,1,3.072860717773437,3.0296173095703125,"(-37.88312530517578, 34.771732330322266, 553.0005493164062)","(23.658113479614258, 37.8897705078125, 550.0242919921875)","(-77.22049713134766, 173.8440399169922, 52.632259368896484)","(-97.90763092041016, 175.7952423095703, 53.34245681762695)",POINT (0.2512644901871681 0.138705387711525),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427347365,1065759354,1,1,"(0.26506030559539795, 0.15450629591941833)","(0.20077107846736908, 0.1515226513147354)",1,1,3.091766357421875,3.044464111328125,"(-37.93292236328125, 34.772029876708984, 553.1832885742188)","(23.618152618408203, 37.871070861816406, 550.144775390625)","(-82.79725646972656, 171.933837890625, 51.93697738647461)","(-105.01081085205078, 172.47874450683594, 52.13532257080078)",POINT (0.2329156920313835 0.1530144736170769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427364032,1065776021,1,1,"(0.26137176156044006, 0.1515987068414688)","(0.2033575177192688, 0.14173181354999542)",1,1,3.105575561523437,3.04547119140625,"(-37.845794677734375, 34.751380920410156, 552.9886474609375)","(23.68680191040039, 37.84708786010742, 550.0985107421875)","(-84.07173919677734, 172.46485900878906, 52.130252838134766)","(-104.11712646484375, 174.26690673828125, 52.78617477416992)",POINT (0.2323646396398544 0.1466652601957321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427380699,1065792687,1,1,"(0.2602282464504242, 0.15187811851501465)","(0.20164558291435242, 0.15149043500423431)",1,1,3.0911407470703125,3.0474090576171875,"(-37.797630310058594, 34.764007568359375, 553.0706787109375)","(23.769309997558594, 37.82368087768555, 550.1436767578125)","(-84.46684265136719, 172.413818359375, 52.111698150634766)","(-104.70864868164062, 172.48463439941406, 52.13745880126953)",POINT (0.2309369146823883 0.1516842767596245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427397368,1065809356,1,1,"(0.26491430401802063, 0.16195683181285858)","(0.1944979429244995, 0.16099004447460175)",1,1,3.1385498046875,3.045867919921875,"(-37.72574234008789, 34.76975631713867, 553.0625)","(23.83846664428711, 37.788944244384766, 549.9452514648438)","(-82.84770965576172, 170.5730743408203, 51.441688537597656)","(-107.17833709716797, 170.7496337890625, 51.50603103637695)",POINT (0.2297061234712601 0.1614734381437302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427414033,1065826020,1,1,"(0.2623434364795685, 0.1599835753440857)","(0.20128557085990906, 0.1741115003824234)",1,1,3.082763671875,3.0723419189453125,"(-37.64398956298828, 34.753211975097656, 552.918701171875)","(23.91021728515625, 37.78337860107422, 550.1920166015625)","(-83.73599243164062, 170.93344116210938, 51.572914123535156)","(-104.83303833007812, 168.3531951904297, 50.633750915527344)",POINT (0.2318145036697388 0.1670475378632546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
