,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,59,29,336543429363,6205104504,1,1,"(0.5176277160644531, 0.6105303764343262)","(0.4429774880409241, 0.5982002019882202)",1,1,2.5921173095703125,2.409210205078125,"(-48.35045623779297, -40.09741973876953, 689.0947265625)","(19.725162506103516, -41.01860046386719, 692.6055908203125)","(4.471158027648926, 88.64705657958984, 21.623096466064453)","(-21.322372436523438, 90.89900207519531, 22.442712783813477)",POINT (0.4803026020526886 0.6043652892112732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,29,336543446030,6205121171,1,1,"(0.5193089246749878, 0.5901823043823242)","(0.4361960291862488, 0.5973716378211975)",1,1,2.560897827148437,2.42596435546875,"(-48.366294860839844, -40.08372116088867, 689.092529296875)","(19.700246810913086, -41.001502990722656, 692.5272216796875)","(5.052070140838623, 92.36335754394531, 22.975744247436523)","(-23.66554069519043, 91.0503158569336, 22.497814178466797)",POINT (0.4777524769306183 0.5937769711017609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,29,336543462697,6205137837,1,1,"(0.5093879103660583, 0.5813345313072205)","(0.4510819911956787, 0.5956906080245972)",1,1,2.5398712158203125,2.415512084960937,"(-48.39582824707031, -40.080326080322266, 689.1146850585938)","(19.65334129333496, -40.99266815185547, 692.4773559570312)","(1.6240941286087036, 93.9792709350586, 23.56390380859375)","(-18.52206802368164, 91.35733032226562, 22.609573364257812)",POINT (0.4802349507808685 0.5885125696659088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,29,336543479366,6205154506,1,1,"(0.5066513419151306, 0.5825282335281372)","(0.45124414563179016, 0.5924850106239319)",1,1,2.5438232421875,2.40643310546875,"(-48.43548583984375, -40.047882080078125, 688.9760131835938)","(19.609333038330078, -40.97304916381836, 692.5328369140625)","(0.6785374879837036, 93.76128387451172, 23.484466552734375)","(-18.466026306152344, 91.94281768798828, 22.82261848449707)",POINT (0.4789477437734604 0.5875066220760345),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,29,336543496033,6205171172,1,1,"(0.5175802111625671, 0.5852634906768799)","(0.44614383578300476, 0.6041298508644104)",1,1,2.556884765625,2.4061279296875,"(-48.53236770629883, -40.039329528808594, 689.3321533203125)","(19.555646896362305, -40.95780944824219, 692.7744750976562)","(4.454756259918213, 93.26171875, 23.302684783935547)","(-20.228313446044922, 89.81602478027344, 22.04852867126465)",POINT (0.481862023472786 0.5946966707706451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,29,336543512700,6205187839,1,1,"(0.5237496495246887, 0.5885747671127319)","(0.44192203879356384, 0.5692373514175415)",1,1,2.5553741455078125,2.370025634765625,"(-48.59931945800781, -39.97792053222656, 689.507568359375)","(19.506877899169922, -40.88056182861328, 692.8032836914062)","(6.586440086364746, 92.65695190429688, 23.082592010498047)","(-21.68705940246582, 96.18867492675781, 24.368003845214844)",POINT (0.4828358441591263 0.5789060592651367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,29,336543529368,6205204506,1,1,"(0.5322003364562988, 0.4252054989337921)","(0.49000951647758484, 0.4358223080635071)",1,1,2.548980712890625,2.442718505859375,"(-48.6102180480957, -39.72523498535156, 689.929931640625)","(19.470600128173828, -40.6290283203125, 693.4427490234375)","(9.50638484954834, 122.4941635131836, 33.942501068115234)","(-5.071621417999268, 120.55516815185547, 33.2367057800293)",POINT (0.5111049264669418 0.4305139034986496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,29,336543562702,6205237839,1,1,"(0.48141568899154663, 0.28351709246635437)","(0.42548245191574097, 0.2804989218711853)",1,1,2.6010894775390625,2.386444091796875,"(-48.85844802856445, -39.364009857177734, 690.5552978515625)","(19.189899444580078, -40.28980255126953, 693.777099609375)","(-8.040993690490723, 148.3717041015625, 43.361080169677734)","(-27.367361068725586, 148.9229278564453, 43.56173324584961)",POINT (0.4534490704536438 0.2820080071687698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,29,336543579369,6205254506,1,1,"(0.46475547552108765, 0.2939057946205139)","(0.4224711060523987, 0.3136979043483734)",1,1,2.58294677734375,2.411529541015625,"(-48.940406799316406, -39.291481018066406, 690.6766357421875)","(19.108306884765625, -40.24697494506836, 694.3941650390625)","(-13.797529220581055, 146.47433471679688, 42.6705322265625)","(-28.407854080200195, 142.85955810546875, 41.35487747192383)",POINT (0.4436132907867432 0.3038018494844437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,29,336543596036,6205271172,1,1,"(0.461972713470459, 0.29906439781188965)","(0.40443095564842224, 0.26696351170539856)",1,1,2.6053466796875,2.414169311523437,"(-49.03942108154297, -39.28080749511719, 691.1145629882812)","(19.044479370117188, -40.21846008300781, 694.265625)","(-14.759048461914062, 145.53221130371094, 42.32754898071289)","(-34.641178131103516, 151.39500427246094, 44.46144485473633)",POINT (0.4332018345594406 0.2830139547586441),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
